issue_id,date,newspaper,page_label,title,url,matched_terms,images,chars
nysp19461001-1,1946-10-01,南洋商报,1,傳政府已下令總攻擊張垣延安亦廣播總動員中共民盟正式拒絕參加國民大會政府接受馬帥建議兩會同時舉行,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19461001-1.2.2,民盟,7,4022
nysp19470916-1,1947-09-16,南洋商报,1,斥胡愈之的謬論,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19470916-1.2.119,胡愈之,7,1158
nysp19471105-1,1947-11-05,南洋商报,1,平教授請政府收囘民盟非法令張瀾將自動解散民盟所謂自由份子多擬逃往香港,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19471105-1.2.10,民盟,7,3216
nysp19471107-1,1947-11-07,南洋商报,1,海外民盟如繼續活動政府將另以辦法取締,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19471107-1.2.3,民盟,3,2327
nysp19471107-1,1947-11-07,南洋商报,1,民盟勾結共匪事實（二）,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19471107-1.2.30,民盟,11,3973
nysp19471107-1,1947-11-07,南洋商报,1,當地政府對民盟不擬採任何動作,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19471107-1.2.57,民盟,2,224
nysp19471110-1,1947-11-10,南洋商报,1,前民盟黨員均得自由,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19471110-1.2.12,民盟,3,140
nysp19471110-1,1947-11-10,南洋商报,1,民盟勾結共匪事實四,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19471110-1.2.41,民盟,9,1956
nysp19490316-1,1949-03-16,南洋商报,1,民盟總部自港遷平,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19490316-1.2.15,民盟,3,1100
nysp19490513-1,1949-05-13,南洋商报,1,聯邦政府宣佈中國民主同盟為非法團體,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19490513-1.2.32.5,民主同盟; 中國民主同盟,4,395
nysp19490518-1,1949-05-18,南洋商报,1,庇朥警察懷疑民盟召傳搜查無所獲前被拘禁現釋放者尚守法,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19490518-1.2.28.2,民盟,3,381
indiandailymail19460701-1,1946-07-01,Indian Daily Mail,1,Another Political Army In China?,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19460701-1.2.11,Democratic League,3,359
indiandailymail19471101-1,1947-11-01,Indian Daily Mail,6,MALAYA BRANCH OF DEMOCRATIC LEAGUE WILL CONTINUE TO FUNCTION,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471101-1.2.57,China Democratic League; Democratic League,3,1267
