dataset,newspaper_title,issue_id,issue_date,page_number,article_id,article_title,article_text_1st50words,matched_terms,url
Morning Tribune 1946-1949,Morning Tribune,morningtribune19470811-1,11 August 1947,16,morningtribune19470811-1.2.115,A. DENIAL,"A. DENIAL NANKING. Aug. 10.— Dr. Lo Lo Lung-chi. spokesman of the Democratic League China's third largest political party v.h'ch refuses to co-operate wi-h the National Qoverrment today denied local pre.-.s repor-:&gt; that the League, has presented o memorardum appealing to General A. C. Wedemeyi-r"" to kt op aid to",Democratic League; Lo Lung-chi,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19470811-1.2.115
Morning Tribune 1946-1949,Morning Tribune,morningtribune19471111-1,11 November 1947,1,morningtribune19471111-1.2.10,"""RISE AGAINST NANKING DICTATORSHIP"" APPEAL","""RISE AGAINST NANKING DICTATORSHIP"" APPEAL w m NANKING, Nov. 10. The southern branch of the China Democratic League, which was recently outlawed by the Chinese Government and then ''voluntarily"" dissolved, issued a statemcrtt today calling on all members, both in China and abroad, ""to rise and unit'j themselves us one",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19471111-1.2.10
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460412-1,12 April 1946,1,maltribune19460412-1.2.9,Manchuria: Plan To End Strife Rejected,"Manchuria: Plan To End Strife Rejected Reuter. CHUNGKING, Apr. 11.—A three-point peace plan to end the spreading civil strife in Manchuria was today rejected by the Chinese Central Government though accepted by the Communists. The plan was put forward by Shang Hlan, leader of China's third party, the Democratic League,",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460412-1.2.9
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19490513-1,13 May 1949,4,maltribune19490513-1.2.48,THE MASTER MIND,THE MASTER MIND WE cannot restrain a sneaking regard lor the bureaucratic master mind (or master minds) who drafted the official statement withdrawing exemption from registtation from the Kuomintang and the China Democratic League. It is a reminder that the Singapore Government has not been corrupted by the current lashion,China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19490513-1.2.48
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19451113-1,13 November 1945,4/1,maltribune19451113-1.2.12,China's Third Party May Break Deadlock,"China's Third Party May Break Deadlock Reuter. CHUNGKING.Nov.iI. China's third political party— the Liberal Democratic League, a federation of six political bodies anc non-party members has participated for the first time in the negotiations between the Kuomintang and Communists, and there i? hope that the League's interventions may break the",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19451113-1.2.12
Indian Daily Mail 1949-1953,Indian Daily Mail,indiandailymail19490513-1,13-May-49,4,indiandailymail19490513-1.2.61,CHINA DEMOCRATIC  LEAGUE DECLARED  UNLAWFUL,"CHINA DEMOCRATIC LEAGUE DECLARED UNLAWFUL Whereas, in ihv opimi u ol the ili-,ii v ommissioner iii t ouncil, tut la Democratic League is being used and is imeiy tu be used for a purpose incompatible with the good order and welfare ol i ederation &lt;&gt;i Malaya, aw iii^n Commissioner in",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19490513-1.2.61
Morning Tribune 1946-1949,Morning Tribune,morningtribune19480514-1,14 May 1948,1,morningtribune19480514-1.2.13,SPORE REDS LAUNCH ANTI-CHIANG WEEK,"SPORE REDS LAUNCH ANTI-CHIANG WEEK (Tribune Staff Reporter) Anti-Chiang Kit Bhek Week, launched by Sin&lt;jipore Leftist organisation* led by the China Democratic League, following a public meeting on May 4. started yesterday, icith further met tings and demonstrations. The Nan Chiau Jit Poh. Singapore Leftist Chines* daily brought out a",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19480514-1.2.13
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460415-1,15 April 1946,2/3,maltribune19460415-1.2.30,Compromise Hopes In Chungking,"Compromise Hopes In Chungking A P CHUNGKING, Apr. 14.—The Chinese Governnu nt has reportedly offered to compromise with the Chinese Coram tinistl n Manchuria, and once more opt mism began pi eping through the gloom that has ever hung Chungking. Kuomintang leaders met with heads of the Democratic League, which",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460415-1.2.30
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19470815-1,15 August 1947,6,indiandailymail19470815-1.2.27,"Message From The Director, China Democratic  League, Singapore","Message From The Director, China Democratic League, Singapore You will be pleased to know that on the occasion of the Inauguration of the Dominions of India and Pakis tan, which will, no doubt, lay the foundaion for the liberation of the 400 million people of India, the reaction of this",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19470815-1.2.27
Morning Tribune 1946-1949,Morning Tribune,morningtribune19460715-1,15 July 1946,1,morningtribune19460715-1.2.4,Untitled,"NANKING. July 13. Chinese despatchM from KunminU .-&gt;aid On Saturday that Democratic leader Li Kung-pu was assassinated as he descended from a bus near Ms home. One tUfped WEa held. Li was one of the celebrated ""seven gentlemen"" imprisoned by the Japanese Government, prior to the war because of their",Li Kung-pu,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19460715-1.2.4
