priority,priority_rationale,coverage_state,source_path,pdf_pages,ocr_draft_pages,indexed_pages,ocr_pages_to_generate,pages_to_formalize,sha256,record_ids,indexed_titles
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85445_民憲_第一卷第四期.pdf,47,47,3,0,44,c88a363f01432f1494adcde3f44c736414deeed2d528fbf550b37a5881f7f730,COLLECTION:P3-007:ocr-draft-20260727；LOCALFULL:P3-007；NLC:minxian-1944-v1n4-contents-ocr,NLC404-00J001436-85445_民憲_第一卷第四期；NLC404-00J001436-85445_民憲_第一卷第四期.pdf · OCR检索草稿；《民憲》第一卷第四期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85447_民憲_第一卷第六期.pdf,51,51,7,0,44,680b592ba16a2826f23b46a382ca261f4183523293f82d568f6e6c5b5b6e503c,COLLECTION:P3-85447:ocr-draft-20260727；LOCALFULL:P3-85447；NLC:minxian-1944-v1n6-contents-ocr；NLC:minxian-1944-v1n6-democracy-philosophy-upper-ocr,NLC404-00J001436-85447_民憲_第一卷第六期；NLC404-00J001436-85447_民憲_第一卷第六期.pdf · OCR检索草稿；《民憲》第一卷第六期目录页（OCR试点）；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85450_民憲_第一卷第九期.pdf,51,51,7,0,44,b6e123c4d90e4b2b596a61e70758f3d0be22cbfbf63ee6ac7853f682de62d5df,COLLECTION:P3-85450:ocr-draft-20260727；LOCALFULL:P3-85450；NLC:minxian-1944-v1n9-democracy-vs-nondemocracy-article-ocr,NLC404-00J001436-85450_民憲_第一卷第九期；NLC404-00J001436-85450_民憲_第一卷第九期.pdf · OCR检索草稿；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85453_民憲_第一卷第十二期.pdf,45,45,3,0,42,bd753ca717908b0556e04dad0fa18519830a8cd3470d25eafbceae17f3c6fe4a,COLLECTION:P3-005:ocr-draft-20260727；LOCALFULL:P3-005；NLC:minxian-1945-v1n12-contents-ocr,NLC404-00J001436-85453_民憲_第一卷第十二期；NLC404-00J001436-85453_民憲_第一卷第十二期.pdf · OCR检索草稿；《民憲》第一卷第十二期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85455_民憲_第二卷第二期.pdf,45,45,3,0,42,449086e77f910796d78a924782cc7cfc830e2a77b0df62c04e6c0fb209cfb7de,COLLECTION:P3-85455:ocr-draft-20260727；LOCALFULL:P3-85455；NLC:minxian-1945-v2n2-contents-ocr,NLC404-00J001436-85455_民憲_第二卷第二期；NLC404-00J001436-85455_民憲_第二卷第二期.pdf · OCR检索草稿；《民憲》第二卷第二期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85442_民憲_第一卷第一期.pdf,47,47,6,0,41,528aa1c147c3ef5ae7af19790cc61b7fe3b261fd3f4afed0cb75b7e58dacbdad,COLLECTION:P3-85442:ocr-draft-20260727；LOCALFULL:P3-85442；NLC:minxian-1944-v1n1-contents-ocr；NLC:minxian-1944-v1n1-preface-effort-and-thought-ocr,NLC404-00J001436-85442_民憲_第一卷第一期；NLC404-00J001436-85442_民憲_第一卷第一期.pdf · OCR检索草稿；《民憲》第一卷第一期目录页（OCR试点）；《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点；《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点；《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85444_民憲_第一卷第三期.pdf,41,41,3,0,38,c21e3e8464473cf68cafdda3e65d69e32fb2bce986f88aa9593479150c612618,COLLECTION:P3-85444:ocr-draft-20260727；LOCALFULL:P3-85444；NLC:minxian-1944-v1n3-contents-ocr,NLC404-00J001436-85444_民憲_第一卷第三期；NLC404-00J001436-85444_民憲_第一卷第三期.pdf · OCR检索草稿；《民憲》第一卷第三期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-01J000514-10834_光明報_1946年1期.pdf,24,24,3,0,21,29a5d3149bf83793ece67f8f7efe6280c29f68e584209add4f60aafafbefcbc5,COLLECTION:P3-008:ocr-draft-20260727；LOCALFULL:P3-008；NLC:guangmingbao-1946-issue1-front-ocr,NLC404-01J000514-10834_光明報_1946年1期；NLC404-01J000514-10834_光明報_1946年1期.pdf · OCR检索草稿；《光明報》新一號首版（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-01J000514-10426_光明報_1946年5期.pdf,20,20,3,0,17,306b5dbe735a5950497c26e2f7ff510961f54e2dbdf4f443c8f0dfa83468194f,COLLECTION:P3-10426:ocr-draft-20260727；LOCALFULL:P3-10426；NLC:guangmingbao-1946-issue5-front-ocr,NLC404-01J000514-10426_光明報_1946年5期；NLC404-01J000514-10426_光明報_1946年5期.pdf · OCR检索草稿；《光明報》新五號首版（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-01J000514-10483_光明報_1947年22期.pdf,20,20,3,0,17,b4a3922174c2a66b7a9997a6130fc477684b39bbb9f34b51aece36f43dd26b95,COLLECTION:P3-10483:ocr-draft-20260727；LOCALFULL:P3-10483；NLC:guangmingbao-1947-issue22-front-ocr,NLC404-01J000514-10483_光明報_1947年22期；NLC404-01J000514-10483_光明報_1947年22期.pdf · OCR检索草稿；《光明報》新二十二號首版（OCR试点）
