source_path,source_group,pdf_pages,sha256,manifest_records,manifest_pages,ocr_draft_records,ocr_draft_pages,ocr_draft_paths,indexed_documents,indexed_pages,status,record_ids,indexed_titles
data/domestic/press_scans/NLC404-00J001436-85451_民憲_第一卷第十期.pdf,press_scans,49,7383f69dd74477969acf50708456b2975e167c16eaa3d6ed7deb6243616b6328,3,3,1,49,work/domestic/ocr_collection_phase4/NLC404-00J001436-85451_民憲_第一卷第十期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85451:ocr-draft-20260727；LOCALFULL:P3-85451；NLC:minxian-1944-v1n10-contents-ocr,NLC404-00J001436-85451_民憲_第一卷第十期；NLC404-00J001436-85451_民憲_第一卷第十期.pdf · OCR检索草稿；《民憲》第一卷第十期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85452_民憲_第一卷第十一期.pdf,press_scans,51,71edf42b8f1e532edb277c2899f2a9a548f531a1cd76c6f7b79a69b1fdce0d2e,3,3,1,51,work/domestic/ocr_collection_phase4/NLC404-00J001436-85452_民憲_第一卷第十一期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85452:ocr-draft-20260727；LOCALFULL:P3-85452；NLC:minxian-1945-v1n11-contents-ocr,NLC404-00J001436-85452_民憲_第一卷第十一期；NLC404-00J001436-85452_民憲_第一卷第十一期.pdf · OCR检索草稿；《民憲》第一卷第十一期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85453_民憲_第一卷第十二期.pdf,press_scans,45,bd753ca717908b0556e04dad0fa18519830a8cd3470d25eafbceae17f3c6fe4a,3,3,1,45,work/domestic/ocr_collection_phase4/NLC404-00J001436-85453_民憲_第一卷第十二期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-005:ocr-draft-20260727；LOCALFULL:P3-005；NLC:minxian-1945-v1n12-contents-ocr,NLC404-00J001436-85453_民憲_第一卷第十二期；NLC404-00J001436-85453_民憲_第一卷第十二期.pdf · OCR检索草稿；《民憲》第一卷第十二期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85454_民憲_第二卷第一期.pdf,press_scans,71,ea8481761246aa26c98f9a7a058e894597c551798fb5ad37f30c400a4cb34fcd,3,3,1,71,work/domestic/ocr_collection_phase4/NLC404-00J001436-85454_民憲_第二卷第一期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85454:ocr-draft-20260727；LOCALFULL:P3-85454；NLC:minxian-1945-v2n1-contents-ocr,NLC404-00J001436-85454_民憲_第二卷第一期；NLC404-00J001436-85454_民憲_第二卷第一期.pdf · OCR检索草稿；《民憲》第二卷第一期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85455_民憲_第二卷第二期.pdf,press_scans,45,449086e77f910796d78a924782cc7cfc830e2a77b0df62c04e6c0fb209cfb7de,3,3,1,45,work/domestic/ocr_collection_phase4/NLC404-00J001436-85455_民憲_第二卷第二期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85455:ocr-draft-20260727；LOCALFULL:P3-85455；NLC:minxian-1945-v2n2-contents-ocr,NLC404-00J001436-85455_民憲_第二卷第二期；NLC404-00J001436-85455_民憲_第二卷第二期.pdf · OCR检索草稿；《民憲》第二卷第二期目录页（OCR试点）
data/domestic/press_scans/NLC404-01J000332-6817_观察_1947年3卷11期.pdf,press_scans,20,f4232929eca2a91b07b292eea0153528e8bce8e7241499a475e6ecc6d2b0af71,3,6,1,20,work/domestic/ocr_collection_phase4/NLC404-01J000332-6817_观察_1947年3卷11期.ocr.md,3,6,draft_ready_formal_gap,COLLECTION:P3-009:ocr-draft-20260727；LOCALFULL:P3-009；NLC:observer-1947-v3n11-selected-ocr,NLC404-01J000332-6817_观察_1947年3卷11期；NLC404-01J000332-6817_观察_1947年3卷11期.pdf · OCR检索草稿；《觀察》第三卷第十一期高价值页（OCR试点）；《觀察》第三卷第十一期高价值页（OCR试点）；《觀察》第三卷第十一期高价值页（OCR试点）；《觀察》第三卷第十一期高价值页（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10424_光明報_1946年3期.pdf,press_scans,16,826fba6a608093972cf54dabf8a9a117ff6e1416767610d6d49a35c0c58328de,3,3,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10424_光明報_1946年3期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-10424:ocr-draft-20260727；LOCALFULL:P3-10424；NLC:guangmingbao-1946-issue3-double-ten-task-ocr,NLC404-01J000514-10424_光明報_1946年3期；NLC404-01J000514-10424_光明報_1946年3期.pdf · OCR检索草稿；《光明報》新三號〈為完成雙十節的歷史任務而奮鬥〉首页（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10425_光明報_1946年4期.pdf,press_scans,16,cfe3ac1821e7d400622079d75d6e9e455391804199b52d35f6757e37f426c163,3,3,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10425_光明報_1946年4期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-10425:ocr-draft-20260727；LOCALFULL:P3-10425；NLC:guangmingbao-1946-issue4-front-ocr,NLC404-01J000514-10425_光明報_1946年4期；NLC404-01J000514-10425_光明報_1946年4期.pdf · OCR检索草稿；《光明報》新四號首版（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10426_光明報_1946年5期.pdf,press_scans,20,306b5dbe735a5950497c26e2f7ff510961f54e2dbdf4f443c8f0dfa83468194f,3,3,1,20,work/domestic/ocr_collection_phase4/NLC404-01J000514-10426_光明報_1946年5期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-10426:ocr-draft-20260727；LOCALFULL:P3-10426；NLC:guangmingbao-1946-issue5-front-ocr,NLC404-01J000514-10426_光明報_1946年5期；NLC404-01J000514-10426_光明報_1946年5期.pdf · OCR检索草稿；《光明報》新五號首版（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10427_光明報_1946年6期.pdf,press_scans,16,aee7e822dde154aecf04f451e36a3c207d98a3dc58e9b0ba22a3132bfc9d0f16,3,3,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10427_光明報_1946年6期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-10427:ocr-draft-20260727；LOCALFULL:P3-10427；NLC:guangmingbao-1946-issue6-front-ocr,NLC404-01J000514-10427_光明報_1946年6期；NLC404-01J000514-10427_光明報_1946年6期.pdf · OCR检索草稿；《光明報》新六號首版（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10428_光明報_1946年7期.pdf,press_scans,16,367165396035893b6a8882a6c270cff4a4cf61dc1d9284525ebcd3240be68f8b,3,3,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10428_光明報_1946年7期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-10428:ocr-draft-20260727；LOCALFULL:P3-10428；NLC:guangmingbao-1946-issue7-front-ocr,NLC404-01J000514-10428_光明報_1946年7期；NLC404-01J000514-10428_光明報_1946年7期.pdf · OCR检索草稿；《光明報》新七號首版（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10429_光明報_1946年8期.pdf,press_scans,16,a0953d77e33497a9af58d458818a2cbafae011e76ef88f0901ac4a11e4702773,3,3,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10429_光明報_1946年8期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-10429:ocr-draft-20260727；LOCALFULL:P3-10429；NLC:guangmingbao-1946-issue8-conditional-national-assembly-ocr,NLC404-01J000514-10429_光明報_1946年8期；NLC404-01J000514-10429_光明報_1946年8期.pdf · OCR检索草稿；《光明報》新八號〈論有條件參加國大〉首版（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10430_光明報_1946年9期.pdf,press_scans,16,b7ad7c28eb35d6f8634e2652dbc64ea7f01c9e25040581a14c4394cac9067cd4,3,3,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10430_光明報_1946年9期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-10430:ocr-draft-20260727；LOCALFULL:P3-10430；NLC:guangmingbao-1946-issue9-front-ocr,NLC404-01J000514-10430_光明報_1946年9期；NLC404-01J000514-10430_光明報_1946年9期.pdf · OCR检索草稿；《光明報》新九號首版（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10431_光明報_1946年10期.pdf,press_scans,16,3ff69100868d575fe6b95702e47481ed51aa4090b94e413ba181a4f6a2d8bd98,3,3,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10431_光明報_1946年10期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-004:ocr-draft-20260727；LOCALFULL:P3-004；NLC:guangmingbao-1946-issue10-front-ocr,NLC404-01J000514-10431_光明報_1946年10期；NLC404-01J000514-10431_光明報_1946年10期.pdf · OCR检索草稿；《光明報》新十號首版（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10453_光明報_1947年13期.pdf,press_scans,16,27209c19191d4fa6dcaa6b2f5ea55b7dfaf74f03cb739ec7067c6552b90fba41,3,18,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10453_光明報_1947年13期.ocr.md,3,18,formal_page_count_anomaly,COLLECTION:P3-10453:ocr-draft-20260727；LOCALFULL:P3-10453；NLC:guangmingbao-1947-13-full-ocr,NLC404-01J000514-10453_光明報_1947年13期；NLC404-01J000514-10453_光明報_1947年13期.pdf · OCR检索草稿；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）；《光明報》1947年新十三號（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10454_光明報_1947年14期.pdf,press_scans,20,86564d9d810e17e8ba05abdd02b059ffe72ac7218816e22f46d675feb1250047,3,18,1,20,work/domestic/ocr_collection_phase4/NLC404-01J000514-10454_光明報_1947年14期.ocr.md,3,18,draft_ready_formal_gap,COLLECTION:P3-10454:ocr-draft-20260727；LOCALFULL:P3-10454；NLC:guangmingbao-1947-14-full-ocr,NLC404-01J000514-10454_光明報_1947年14期；NLC404-01J000514-10454_光明報_1947年14期.pdf · OCR检索草稿；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）；《光明報》1947年新十四號（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10455_光明報_1947年15期.pdf,press_scans,16,42c7b19e6f84a2a615adbe5bc776aa54be395b745a168a72989279c50c02434e,3,18,1,16,work/domestic/ocr_collection_phase4/NLC404-01J000514-10455_光明報_1947年15期.ocr.md,3,18,formal_page_count_anomaly,COLLECTION:P3-10455:ocr-draft-20260727；LOCALFULL:P3-10455；NLC:guangmingbao-1947-15-full-ocr,NLC404-01J000514-10455_光明報_1947年15期；NLC404-01J000514-10455_光明報_1947年15期.pdf · OCR检索草稿；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）；《光明報》1947年新十五號（OCR试点）
data/domestic/press_scans/NLC404-01J000514-10456_光明報_1947年16–17期.pdf,press_scans,17,c54548425303f975110c7163b7bc15eb16f6a7ad5d045e5d0a9d5e0fcc984a91,3,19,1,17,work/domestic/ocr_collection_phase4/NLC404-01J000514-10456_光明報_1947年16–17期.ocr.md,3,19,formal_page_count_anomaly,COLLECTION:P3-10456:ocr-draft-20260727；LOCALFULL:P3-10456；NLC:guangmingbao-1947-16-17-full-ocr,NLC404-01J000514-10456_光明報_1947年16–17期；NLC404-01J000514-10456_光明報_1947年16–17期.pdf · OCR检索草稿；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）；《光明報》1947年新十六—十七號（OCR试点）
