_priority,_year,典藏號,題名,全宗名稱,全宗系列,本件日期,密等/解密紀錄,提供方式/地點,_matched_queries,_reason,_collection,_identifier
C,1911,129-090000-4483,莊明理,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1911），早於民盟前身成立,129000044483A,129-090000-4483
C,1902,129-090000-4488,費振東,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 章伯鈞,時段錯位（1902），早於民盟前身成立,129000044488A,129-090000-4488
C,,129-090000-4489,戴子良,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 政治協商會議,無民盟直接命中，剔除,129000044489A,129-090000-4489
C,,129-090000-4522,胡愈之,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 沈鈞儒,人物擦邊（ 沈鈞儒），時段 不明,129000044522A,129-090000-4522
C,,129-090000-4529,陳汝棠,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,129000044529A,129-090000-4529
C,,129-090000-4542,彭澤民,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟; 章伯鈞,人物擦邊（ 章伯鈞），時段 不明,129000044542A,129-090000-4542
C,,129-090000-4562,葉篤義,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 章伯鈞,人物擦邊（ 章伯鈞），時段 不明,129000044562A,129-090000-4562
C,1902,129-090000-4571,閔剛侯,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 沈鈞儒,時段錯位（1902），早於民盟前身成立,129000044571A,129-090000-4571
C,,129-090000-4593,李伯剛,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000044593A,129-090000-4593
C,,129-090000-4599,劉雋,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000044599A,129-090000-4599
