tier,review_score,grade,class_score,doc_id,page_id,date_guess,title,reason,doc_key,url
重点校订,134,A,90,572,963,1947/05/26 ~ 1947/05/26,保密局呈蒋中正苏俄驻华使馆邀晤民盟黄炎培指示加强学运工潮等,组织直接命中：民盟；人物：黄炎培；机关/情报：蒋中正、保密局；年份：1947,drnh:002-020400-00011-021,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDQwMC0wMDAxMS0wMjEiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,134,A,90,595,986,1947/12/03 ~ 1947/12/03,薛岳汇呈蒋中正民盟暂不成立香港临时总部及黄炎培张䌹伯丘哲等拟另组政团代替民盟与农工民主党总部将迁香港等情报提要等五则,组织直接命中：民盟；人物：黄炎培；机关/情报：蒋中正、情报；年份：1947,drnh:002-080200-00537-119,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDUzNy0xMTkiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,134,A,90,608,999,1948/10/23 ~ 1948/10/23,保密局呈报蒋中正共党拟先分区设立地方政府再行筹组一联邦共和国以吸引各地方实力派拥护及罗隆基致函香港民盟谓上海民盟赞成派员出席新政协等各党派情…,组织直接命中：民盟；人物：罗隆基；事件：政协；机关/情报：蒋中正、保密局；年份：1948,drnh:002-080200-00547-068,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0Ny0wNjgiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,133,A,90,626,1017,1946/08/27 ~ 1946/08/27,陈布雷电彭学沛连日民盟中共皆要求重开政协会议请于记者招待会表示自停战令后中共到处攻击扩大侵占地故关键全在共党诚意另政协会议未有再开必要等,组织直接命中：民盟；事件：政协、停战；年份：1946,drnh:002-090300-00019-234,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDMwMC0wMDAxOS0yMzQiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,133,A,90,609,1000,1948/11/15 ~ 1948/11/15,保密局等呈蒋中正报告李济琛等破坏我团结与美援阴谋民盟总部决定迁至共军占领区及徐传霖与张君劢商入阁问题等各党派情报提要五则,组织直接命中：民盟；人物：张君劢；机关/情报：蒋中正、情报、保密局；年份：1948,drnh:002-080200-00547-107,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0Ny0xMDciLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,505,896,1945/05/21 ~ 1945/05/21,叶镇宇呈蒋中正中国民主同盟传李宗仁与赫尔利晤谈中共问题情形,组织直接命中：中国民主同盟、民主同盟；事件：赫尔利；机关/情报：蒋中正；年份：1945,drnh:002-080200-00301-043,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDMwMS0wNDMiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,571,962,1945/06/30 ~ 1945/06/30,钱大钧等呈蒋中正谓赫尔利曾召张申府等谈话望民盟能转圜国共僵局,组织直接命中：民盟；事件：赫尔利；机关/情报：蒋中正；年份：1945,drnh:002-020400-00003-047,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDQwMC0wMDAwMy0wNDciLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,612,1003,1946/00/23 ~ 1946/00/23,蒋中正分电胡宗南孙连仲等召开国民大会为最大政治任务并指示分化打击中共都市分子与民盟等敌对阵容并争取青年党等中立分子及党派工作需团结分工等相关策略,组织直接命中：民盟；事件：国民大会；机关/情报：蒋中正；年份：1946,drnh:002-090102-00009-467,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDEwMi0wMDAwOS00NjciLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,512,903,1946/05/20 ~ 1946/05/20,蒋中正电令黄旭初速取缔桂省民主同盟造谣挑拨者,组织直接命中：民主同盟；事件：取缔；机关/情报：蒋中正；年份：1946,drnh:002-010400-00002-010,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAxMDQwMC0wMDAwMi0wMTAiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,548,939,1946/05/22 ~ 1946/05/22,蒋中正电黄旭初尽速取缔民主同盟并注意防范被其勾结广西省府同志等不实谣言挑拨,组织直接命中：民主同盟；事件：取缔；机关/情报：蒋中正；年份：1946,drnh:002-080200-00307-043,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDMwNy0wNDMiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,553,944,1946/05/22 ~ 1946/05/22,蒋中正电黄旭初从速取缔与桂省民主同盟活动有关者以免招摇而息浮言为要,组织直接命中：民主同盟；事件：取缔；机关/情报：蒋中正；年份：1946,drnh:002-080200-00552-176,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU1Mi0xNzYiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,633,1024,1946/06/27 ~ 1946/06/27,陶镕电蒋中正滇省匪党民盟分子与过去地方武力勾结企图暴动又停战令延期将使世人皆知中共无诚意必有继续之战争滇省人心浮动社会不安等,组织直接命中：民盟；事件：停战；机关/情报：蒋中正；年份：1946,drnh:002-090300-00141-327,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDMwMC0wMDE0MS0zMjciLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,535,926,1946/09/17 ~ 1946/09/17,郑介民电蒋中正张家口第五小组被共方扣留我方已提出严重抗议并建议撤回北平，马歇尔谒蒋中正谓周恩来致备忘录三件要求共党与民主同盟须于国民政府委员名单占有十四席方…,组织直接命中：民主同盟；事件：马歇尔；机关/情报：蒋中正；年份：1946,drnh:002-060100-00216-017,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA2MDEwMC0wMDIxNi0wMTciLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,625,1016,1946/10/27 ~ 1946/10/27,皮宗敢电蒋中正明日鲁斯抵南京傅泾波告以马歇尔劝周恩来接受政府条件否则政府用兵共党无法幸胜另民盟谴责马帅失去调人立场并主张折衷方案继续调停等,组织直接命中：民盟；事件：马歇尔；机关/情报：蒋中正；年份：1946,drnh:002-090300-00019-230,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDMwMC0wMDAxOS0yMzAiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,630,1021,1946/10/27 ~ 1946/10/27,皮宗敢电周宏涛转蒋中正明鲁斯抵京停三四日及闻马歇尔劝周恩来接受政府条件否则我将用兵而民盟甚焦急一部分主张仍提折衷方案继续调停等情,组织直接命中：民盟；事件：马歇尔；机关/情报：蒋中正；年份：1946,drnh:002-090300-00023-107,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDMwMC0wMDAyMy0xMDciLCJhdHRyIjoiKyJ9XX0%3D
重点校订,132,A,90,573,964,1947/10/22 ~ 1947/10/22,俞济时呈蒋中正解散民盟及肃清后方潜伏共党办理情况,组织直接命中：民盟；事件：解散；机关/情报：蒋中正；年份：1947,drnh:002-020400-00012-067,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDQwMC0wMDAxMi0wNjciLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,516,907,1945/01/20 ~ 1945/01/20,钱大钧戴笠呈蒋中正中共与民主同盟对中枢拟设战时政务委员会态度,组织直接命中：民主同盟；机关/情报：戴笠、蒋中正；年份：1945,drnh:002-020400-00003-032,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDQwMC0wMDAwMy0wMzIiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,532,923,1945/05/01 ~ 1945/05/01,蒋中正接何应钦电陈据汤恩伯称敌三十四师团主力由新宁窜抵梅口有续犯芷江企图我已令第九十四军归李玉堂指挥集结积极进出绥宁以北攻敌侧背又据戴笠报称民主同盟因国民参…,组织直接命中：民主同盟；机关/情报：戴笠、蒋中正；年份：1945,drnh:002-060100-00200-001,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA2MDEwMC0wMDIwMC0wMDEiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,507,898,1945/07/07 ~ 1945/07/07,叶镇宇函蒋中正中国民主同盟听取黄炎培等报告赴延安与共党毛泽东晤谈及受欢迎情形暨民盟之立场等,组织直接命中：中国民主同盟、民主同盟、民盟；人物：黄炎培；机关/情报：蒋中正；年份：1945,drnh:002-080200-00301-070,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDMwMS0wNzAiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,614,1005,1946/07/15 ~ 1946/07/15,陶镕电蒋中正民盟负责人李公朴被人刺死后捕获嫌疑犯一人警备总部正在严缉中惟奸党阴谋借此攻击国民党和青年团支团并煽动学生,组织直接命中：民盟；人物：李公朴；机关/情报：蒋中正；年份：1946,drnh:002-090300-00016-114,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDMwMC0wMDAxNi0xMTQiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,497,888,1946/07/16 ~ 1946/07/16,青海省参议会议长马元海等电国民政府主席蒋中正请对中国民主同盟主席张澜等荒谬言论予以纠正并转电美国说明真象以正是非,组织直接命中：中国民主同盟、民主同盟；人物：张澜；机关/情报：蒋中正；年份：1946,drnh:001-050060-00007-001,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAxLTA1MDA2MC0wMDAwNy0wMDEiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,636,1027,1947/00/00 ~ 1947/00/00,王幼侨呈蒋中正民盟函请民社党退盟事及力劝张君劢与政府合作参加政府组织情形,组织直接命中：民盟；人物：张君劢；机关/情报：蒋中正；年份：1947,drnh:002-080300-00059-009,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDMwMC0wMDA1OS0wMDkiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,521,912,1947/01/13 ~ 1947/01/13,保密局呈蒋中正中共及民主同盟企图组织华南民主联军推李杜为总司令,组织直接命中：民主同盟；机关/情报：蒋中正、保密局；年份：1947,drnh:002-020400-00009-132,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDQwMC0wMDAwOS0xMzIiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,551,942,1947/01/20 ~ 1947/01/20,俞济时呈蒋中正民主同盟二中全会开会经过情形及其基本政策组织经济宣传等议决结果等情报提要三则,组织直接命中：民主同盟；机关/情报：蒋中正、情报；年份：1947,drnh:002-080200-00541-016,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0MS0wMTYiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,131,A,90,582,973,1947/02/11 ~ 1947/02/11,保密局中统局及孙元良汤恩伯张镇分电蒋中正上海奸伪办事处临时会议情形与民盟密谋今后出路及其内部意见纷歧等中共和各党派之动态,组织直接命中：民盟；机关/情报：蒋中正、保密局；年份：1947,drnh:002-080200-00314-042,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDMxNC0wNDIiLCJhdHRyIjoiKyJ9XX0%3D
