identifier,title,date,year,matched_keywords,kind,ia_detail_url
cia-readingroom-document-cia-rdp80-00809a000600390662-4,CIA Reading Room cia-rdp80-00809a000600390662-4: NEW ADMINISTRATIVE DIVISIONS OF PEOPLE'S REPUBLIC OF CHINA,1951-06-15,1951,"""Political Consultative"" 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600390662-4
cia-readingroom-document-cia-rdp82-00457r008000450001-7,CIA Reading Room cia-rdp82-00457r008000450001-7: VARIOUS OPINIONS ON STRENGTH OF CHINESE COMMUNIST REGIME,1951-06-28,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r008000450001-7
cia-readingroom-document-cia-rdp80-00809a000600400173-5,CIA Reading Room cia-rdp80-00809a000600400173-5: CHINA'S FUTURE AND A THIRD FORCE,1951-07-03,1951,"""third force"" China; ""third party"" Chiang Kai-shek",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600400173-5
cia-readingroom-document-02740744,CIA Reading Room 02740744: CURRENT INTELLIGENCE BULLETIN - 1951/07/25,1951-07-25,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02740744
cia-readingroom-document-cia-rdp79t01146a000300260001-1,CIA Reading Room cia-rdp79t01146a000300260001-1: OFFICE OF CURRENT INTELLIGENCE DAILY DIGEST,1951-07-26,1951,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000300260001-1
cia-readingroom-document-cia-rdp79t01146a000300270001-0,CIA Reading Room cia-rdp79t01146a000300270001-0: DAILY DIGEST,1951-07-27,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000300270001-0
cia-readingroom-document-cia-rdp79t00975a000300320001-2,CIA Reading Room cia-rdp79t00975a000300320001-2: CENTRAL INTELLIGENCE BULLETIN,1951-08-04,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t00975a000300320001-2
cia-readingroom-document-02739452,CIA Reading Room 02739452: CURRENT INTELLIGENCE BULLETIN - 1951/08/04,1951-08-04,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02739452
cia-readingroom-document-02002001,CIA Reading Room 02002001: CURRENT INTELLIGENCE BULLETIN - 1951/08/26,1951-08-26,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02002001
cia-readingroom-document-cia-rdp80-00809a000700020135-8,CIA Reading Room cia-rdp80-00809a000700020135-8: TWO CHINESE WRITERS DISCUSS CAMPAIGN TO SUPPRESS COUNTERREVOLUTIONARIES,1951-11-06,1951,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700020135-8
cia-readingroom-document-cia-rdp83-00415r009700030006-5,CIA Reading Room cia-rdp83-00415r009700030006-5: AGREEMENT OF 1946 OF REPRESENTATIVES OF CHINESE COMMUNIST PARTY AND MINORITY PARTIES,1951-11-07,1951,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp83-00415r009700030006-5
cia-readingroom-document-cia-rdp80-00809a000700030078-1,CIA Reading Room cia-rdp80-00809a000700030078-1: CHINESE CHRISTIAN LEADER VOICES COMPLAINT AGAINST LEIGHTON STUART AND WORLD COUNCIL OF CHURCHES,1951-11-16,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700030078-1
cia-readingroom-document-00771585,CIA Reading Room 00771585: INTERVIEW WITH GENERAL LI TSUNG-JEN/ HIS RELATIONS WITH DR HU SHIH,1951-11-17,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-00771585
cia-readingroom-document-cia-rdp79t01146a000500270001-4,CIA Reading Room cia-rdp79t01146a000500270001-4: DAILY DIGEST,1951-11-19,1951,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000500270001-4
cia-readingroom-document-cia-rdp82-00457r009400520002-3,CIA Reading Room cia-rdp82-00457r009400520002-3: POSSIBLE CHANGES IN CHINESE NATIONALIST GOVERNMENT POSTS,1951-11-20,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r009400520002-3
cia-readingroom-document-cia-rdp79t01146a000500280001-3,CIA Reading Room cia-rdp79t01146a000500280001-3: DAILY DIGEST,1951-11-20,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000500280001-3
cia-readingroom-document-cia-rdp79t01146a000600010001-5,CIA Reading Room cia-rdp79t01146a000600010001-5: DAILY DIGEST,1951-11-21,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000600010001-5
cia-readingroom-document-cia-rdp82-00457r009400020003-7,"CIA Reading Room cia-rdp82-00457r009400020003-7: LIANG HAN-TS'AO, POTENTIAL THIRD FORCE LEADER",1951-12-06,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r009400020003-7
cia-readingroom-document-cia-rdp82-00457r009500150001-4,CIA Reading Room cia-rdp82-00457r009500150001-4: SOUTH CHINA SUB-BUREAU DIRECTIVE ON INVESTIGATION OF THIRD FORCE ACTIVITIES,1951-12-21,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r009500150001-4
cia-readingroom-document-02698154,CIA Reading Room 02698154: CURRENT INTELLIGENCE BULLETIN - 1952/02/16,1952-02-16,1952,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02698154
