doc_key,grade,score,needs_review,reason
frus1947v07/d281,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政协/谈判、压制/解散；文本信息量较高
frus1947v07/d290,背景材料,20,0,组织词弱命中或上下文较少，作为背景线索保留
frus1947v07/d304,背景材料,25,0,组织词弱命中或上下文较少，作为背景线索保留
frus1947v07/d313,相关文献,49,0,组织词出现 1 次；涉及组织定位、政协/谈判；文本信息量较高
frus1947v07/d510,核心文献,86,0,组织词出现 6 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d512,核心文献,69,0,组织词出现 3 次；命中民盟关键人物；涉及组织定位、政协/谈判；文本信息量较高
frus1947v07/d516,核心文献,70,0,组织词出现 2 次；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1947v07/d550,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d559,相关文献,57,0,组织词出现 3 次；命中民盟关键人物；涉及政协/谈判；文本信息量较高
frus1947v07/d573,核心文献,66,0,组织词出现 2 次；涉及组织定位、政治纲领、新政协；文本信息量较高
frus1947v07/d578,相关文献,49,0,组织词出现 1 次；涉及组织定位、压制/解散；文本信息量较高
frus1947v07/d706,相关文献,49,0,组织词出现 1 次；涉及组织定位、政协/谈判；文本信息量较高
frus1947v07/d852,相关文献,37,0,组织词出现 1 次；涉及政协/谈判；文本信息量较高
frus1948v07/d14,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1948v07/d60,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1948v07/d113,相关文献,54,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政协/谈判
frus1948v07/d136,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1948v07/d209,相关文献,37,0,组织词出现 1 次；涉及组织定位；文本信息量较高
