_matched_queries,題名,典藏號,全宗號,全宗名稱,全宗系列,隸屬卷名/件號,本件日期,卷件開始日期,卷件結束日期,密等,密等/解密紀錄,隱私問題,提供方式/地點,閱覽方式,數位化,應用限制,_collection,_identifier,入藏登錄號,內容描述,卷名,本卷日期,檔案年代,檔案系列,申請序號,相關人員,相關地點,調閱參照,資料類型,關鍵詞組
民主同盟,杜聿明電蔣中正我五十二軍占領安東擊潰匪民主同盟第一軍主力獨立師第十旅第十二旅第十八旅第三十五旅砲兵旅保安三個團及地方支隊等六萬餘人俘獲軍品甚多,002-090300-00146-064,002,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,武裝叛國 （一二三）,1946/10/28 ~ 1946/10/28,1946/10/28,1946/10/28,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000002400A,002-090300-00146-064,002000002400A,杜聿明電蔣中正我五十二軍占領安東擊潰匪民主同盟第一軍主力獨立師第十旅第十二旅第十八旅第三十五旅砲兵旅保安三個團及地方支隊等六萬餘人俘獲軍品甚多,武裝叛國 （一二三）,,1946民國35年,蔣中正總統文物/特交文電/共匪禍國/共匪禍國,002000002400A002-090300-00146-064,,南京，瀋陽，臺北,002000002400A002-090300-00146-064,文件,軍事-戰果，政治-國共內戰
民主同盟,杜聿明電蔣中正白崇禧等璽部之一部在寬甸擊潰匪民主同盟第一軍第四軍分區及韓匪共約五千餘人刻掃蕩附近殘匪加強工事中等情,002-090300-00146-176,002,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,武裝叛國 （一二三）,1946/11/04 ~ 1946/11/04,1946/11/04,1946/11/04,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000002400A,002-090300-00146-176,002000002400A,杜聿明電蔣中正白崇禧等璽部之一部在寬甸擊潰匪民主同盟第一軍第四軍分區及韓匪共約五千餘人刻掃蕩附近殘匪加強工事中等情,武裝叛國 （一二三）,,1946民國35年,蔣中正總統文物/特交文電/共匪禍國/共匪禍國,002000002400A002-090300-00146-176,湯恩伯，陳誠，顧祝同,南京，安東-寬甸，遼寧-岫巖，熱河-綏東,002000002400A002-090300-00146-176,文件,政治-國共內戰
民主同盟,顧祝同電蔣中正蘇中魯南共軍動態偽第三師鐘劍魂部改編為民主同盟第一軍由淮安方面竄抵儀徵六合間橫桿店等地又共軍張愛萍部四萬七千餘積極活動企圖不明等情,002-090300-00148-030,002,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,武裝叛國 （一二五）,1946/01/22 ~ 1946/01/22,1946/01/22,1946/01/22,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000002402A,002-090300-00148-030,002000002402A,顧祝同電蔣中正蘇中魯南共軍動態偽第三師鐘劍魂部改編為民主同盟第一軍由淮安方面竄抵儀徵六合間橫桿店等地又共軍張愛萍部四萬七千餘積極活動企圖不明等情,武裝叛國 （一二五）,,1946民國35年,蔣中正總統文物/特交文電/共匪禍國/共匪禍國,002000002402A002-090300-00148-030,,江蘇-儀徵，江蘇-六合，安徽-宿縣，江蘇-江都，江蘇-泰縣，江蘇-淮安，安徽-靈璧,002000002402A002-090300-00148-030,文件,軍事-情報
民主同盟,杜聿明電蔣中正陳誠匪將我軍被俘官兵二千餘由佳木斯運至巴彥西北興隆鎮編為民主同盟第一軍軍長為潘朔端刻正積極訓練中另匪田松部隊竄回秀水甸子附近等,002-090300-00162-007,002,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,武裝叛國 （一三九）,1947/03/05 ~ 1947/03/05,1947/03/05,1947/03/05,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000002416A,002-090300-00162-007,002000002416A,杜聿明電蔣中正陳誠匪將我軍被俘官兵二千餘由佳木斯運至巴彥西北興隆鎮編為民主同盟第一軍軍長為潘朔端刻正積極訓練中另匪田松部隊竄回秀水甸子附近等,武裝叛國 （一三九）,,1947民國36年,蔣中正總統文物/特交文電/共匪禍國/共匪禍國,002000002416A002-090300-00162-007,俞濟時，李紅光,合江-佳木斯，嫩江-巴彥，瀋陽，安東-輝南，吉林-三岔河，安東-寬甸，遼寧-普蘭店，安東-朝陽，安東-柳河，安東-永甸，安東-清原，熱河-赤峰，熱河-隆化,002000002416A002-090300-00162-007,文件,政治-國共內戰
民主同盟,杜聿明鄭洞國電蔣中正白崇禧等匪近於哈市南崗成立獨立三個師歸民主聯軍總司令部直轄正訓練中又哈市道外有匪民主同盟三個團約三千餘另有匪民聯二千餘等,002-090300-00168-057,002,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,武裝叛國 （一四五）,1947/08/15 ~ 1947/08/15,1947/08/15,1947/08/15,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000002422A,002-090300-00168-057,002000002422A,杜聿明鄭洞國電蔣中正白崇禧等匪近於哈市南崗成立獨立三個師歸民主聯軍總司令部直轄正訓練中又哈市道外有匪民主同盟三個團約三千餘另有匪民聯二千餘等,武裝叛國 （一四五）,,1947民國36年,蔣中正總統文物/特交文電/共匪禍國/共匪禍國,002000002422A002-090300-00168-057,陳誠，顧祝同,熱河-平泉，松江-延吉，吉林-樺甸，松江-牡丹江，吉林-蛟河，熱河-隆化，松江-哈爾濱,002000002422A002-090300-00168-057,文件,軍事-情報
民主同盟,毛人鳳電蔣中正據報匪軍占據關中後將由陽平關暨鄂西等地分股入四川現四川境內哥老會幫在民主同盟分子拉拔下已在甘陝川邊區控制民團幫徒反對胡宗南部入川,002-090300-00199-149,002,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,武裝叛國 （一七六）,1949/05/31 ~ 1949/05/31,1949/05/31,1949/05/31,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000002453A,002-090300-00199-149,002000002453A,毛人鳳電蔣中正據報匪軍占據關中後將由陽平關暨鄂西等地分股入四川現四川境內哥老會幫在民主同盟分子拉拔下已在甘陝川邊區控制民團幫徒反對胡宗南部入川,武裝叛國 （一七六）,,1949民國38年,蔣中正總統文物/特交文電/共匪禍國/共匪禍國,002000002453A002-090300-00199-149,,上海，浙江-金華,002000002453A002-090300-00199-149,文件,軍事-情報
民主同盟; 沈鈞儒,共匪偽政權之人民民主專政、人民政協、俄化大陸三年計劃、親蘇反美、韓戰參戰、抗美援朝運動、土改運動、財政經濟、文化教育思想改造、黨務活動整風運動、屠殺奴役管制等情,002-110703-00129-001,002,蔣中正總統文物,蔣中正總統文物/ 其他 / 綜合 / 軍事情報及演習,三年匪情綜述,1953/10/00 ~ 1953/10/00,1953/10/00,1953/10/00,普通 / 法務部調查局民國106年2月3日調總伍字第10624502950號函註銷密等,普通 / 法務部調查局民國106年2月3日調總伍字第10624502950號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003138A,002-110703-00129-001,002000003138A,共匪偽政權之人民民主專政、人民政協、俄化大陸三年計劃、親蘇反美、韓戰參戰、抗美援朝運動、土改運動、財政經濟、文化教育思想改造、黨務活動整風運動、屠殺奴役管制等情,三年匪情綜述,,1953民國42年,蔣中正總統文物/其他/綜合/軍事情報及演習,002000003138A002-110703-00129-001,林泊渠，譚平山，董必武，周恩來，陳叔通，劉少奇，陳雲，彭真，薄一波，郭沫若，沈鈞儒，史大林，毛澤東,莫斯科，北平,002000003138A002-110703-00129-001,文件,內政部調查局，土改法，中蘇友協，蘇俄，美國，共產集團，三反運動，匈牙利，統一戰線，偽民革，民主同盟，九三學社，五反運動
民主同盟,蔣中正函張羣謂潘文華來晤諸事洽妥民主同盟最近之態度似已與共產黨沆瀣一氣請與李璜就近商談如彼青年黨果與共黨取一致行動則政府將毫不容情等,002-110400-00001-003,002,蔣中正總統文物,蔣中正總統文物/ 其他 / 張羣先生文卷 /,張羣先生文卷─張羣個人保存之文件資料,1946/01/19 ~ 1946/01/19,1946/01/19,1946/01/19,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003188A,002-110400-00001-003,002000003188A,蔣中正函張羣謂潘文華來晤諸事洽妥民主同盟最近之態度似已與共產黨沆瀣一氣請與李璜就近商談如彼青年黨果與共黨取一致行動則政府將毫不容情等,張羣先生文卷─張羣個人保存之文件資料,,1946民國35年,蔣中正總統文物/其他/張羣先生文卷/,002000003188A002-110400-00001-003,蔣中正，王世杰，左舜生,山西,002000003188A002-110400-00001-003,文件,國民政府軍委會，國是會議，聯合政府，抗戰
民主同盟; 羅隆基,蔣中正日記原本民國35年06月22日與06月16日至22日上星期反省錄間夾件,002-150101-00035-238,002,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,蔣中正日記原本民國35年（1946年）第一冊,1946/00/00 ~ 1946/00/00,1946/00/00,1946/00/00,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003437A,002-150101-00035-238,002000003437A,民國35年06月22日與06月16日至22日上星期反省錄間夾件；剪報：「周恩來意見」昨日距停戰令期限（二十二日），僅有四十八小時，各方接觸甚緊張。下午二時至三時，民主同盟代表張君勱、黃炎培、及羅隆基特赴梅園新村訪見共黨代表周恩來，就停戰及美方公斷等問題，交換意見……及廣告資料,蔣中正日記原本民國35年06月22日與06月16日至22日上星期反省錄間夾件,,1946民國35年,蔣中正總統文物/美國史丹佛大學胡佛研究所移回日記及手令等/日記/原本,002000003437A002-150101-00035-238,周恩來(翔宇)，張君勱(嘉森)，黃炎培(任之),,002000003437A002-150101-00035-238,文件,
民主同盟,蔣中正日記原本民國35年07月26日,002-150101-00035-285,002,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,蔣中正日記原本民國35年（1946年）第一冊,1946/07/26 ~ 1946/07/26,1946/07/26,1946/07/26,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003437A,002-150101-00035-285,002000003437A,民國35年07月26日／星期五／雨、下午陰；雪恥：大公報之投機與胡政之惡劣猶甚於民主同盟共黨之尾巴也；共黨以要求參加政府之名而阻止政府擴大範圍並不許其他黨派參加使政府孤立受人圍攻不能自拔……,蔣中正日記原本民國35年07月26日,,1946民國35年,蔣中正總統文物/美國史丹佛大學胡佛研究所移回日記及手令等/日記/原本,002000003437A002-150101-00035-285,,,002000003437A002-150101-00035-285,文件,
民主同盟,蔣中正日記原本民國35年12月27日,002-150101-00035-494,002,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,蔣中正日記原本民國35年（1946年）第一冊,1946/12/27 ~ 1946/12/27,1946/12/27,1946/12/27,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003437A,002-150101-00035-494,002000003437A,民國35年12月27日／星期五／晴；雪恥；注意一、民主同盟開除民主社會黨盟席該黨亦宣告脫離同盟此事於最近內政上最能發生影響而且今後該同盟完全為共黨之外圍此乃二年來對共政治鬥爭之重要結果也……,蔣中正日記原本民國35年12月27日,,1946民國35年,蔣中正總統文物/美國史丹佛大學胡佛研究所移回日記及手令等/日記/原本,002000003437A002-150101-00035-494,,,002000003437A002-150101-00035-494,文件,
民主同盟,蔣中正日記原本民國35年12月29日,002-150101-00035-498,002,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,蔣中正日記原本民國35年（1946年）第一冊,1946/12/29 ~ 1946/12/29,1946/12/29,1946/12/29,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003437A,002-150101-00035-498,002000003437A,民國35年12月29日／星期日／晴；雪恥一、本黨內部之如何整頓與團結二、政府改組之具體方案三、經濟政策如何之改革與實施四、對各黨派之交涉如何解決五、對民主同盟如何解決……,蔣中正日記原本民國35年12月29日,,1946民國35年,蔣中正總統文物/美國史丹佛大學胡佛研究所移回日記及手令等/日記/原本,002000003437A002-150101-00035-498,,,002000003437A002-150101-00035-498,文件,
民主同盟,蔣中正日記原本民國36年01月20日,002-150101-00037-030,002,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,蔣中正日記原本民國36年（1947年）,1947/01/20 ~ 1947/01/20,1947/01/20,1947/01/20,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003439A,002-150101-00037-030,002000003439A,民國36年01月20日／星期一／雨陰；雪耻：昨夜對改組政府之方鍼決以民社與青年二黨平等待遇勿再視民社為民主同盟之一部分故國委決予民社以四名……,蔣中正日記原本民國36年01月20日,,1947民國36年,蔣中正總統文物/美國史丹佛大學胡佛研究所移回日記及手令等/日記/原本,002000003439A002-150101-00037-030,,,002000003439A002-150101-00037-030,文件,
民主同盟,蔣中正日記原本民國37年04月18日至24日上星期反省錄,002-150101-00038-162,002,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,蔣中正日記原本民國37年（1948年）,1948/04/18 ~ 1948/04/24,1948/04/18,1948/04/24,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000003440A,002-150101-00038-162,002000003440A,民國37年04月18日至24日；上星期反省錄：一、李宗仁之競選其賄款之大宣傳之廣決非桂系所能為審查結果其背後乃為民主同盟而實由俄國主持其間故其能有此力量也應再加偵察其內容；二、本黨組織低落紀律廢弛既無統御黨員把握……,蔣中正日記原本民國37年04月18日至24日上星期反省錄,,1948民國37年,蔣中正總統文物/美國史丹佛大學胡佛研究所移回日記及手令等/日記/原本,002000003440A002-150101-00038-162,李宗仁(德鄰),,002000003440A002-150101-00038-162,文件,
民主同盟,陳建中呈蔣經國關於左舜生李璜等六人聯名上書蔣中正要求召開救國會議案奉蔣中正批示以張羣名義函復並摘錄左舜生周鯨文等閱函後之反應檢附原報告影本一份,005-010100-00113-009,005,蔣經國總統文物,蔣經國總統文物/ 文件 / 忠勤檔案 /,綜合資料（二）,1968/04/18 ~ 1968/04/18,1968/04/18,1968/04/18,普通 / 總統府機要室101年8月1日華總機一字第10110057140號書函註銷密等,普通 / 總統府機要室101年8月1日華總機一字第10110057140號書函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,005000000114A,005-010100-00113-009,005000000114A,陳建中呈蔣經國關於左舜生李璜等六人聯名上書蔣中正要求召開救國會議案奉蔣中正批示以張羣名義函復並摘錄左舜生周鯨文等閱函後之反應檢附原報告影本一份,綜合資料（二）,,1968民國57年,蔣經國總統文物/文件/忠勤檔案/,005000000114A005-010100-00113-009,嚴家淦，袁守謙，許孝炎，谷正綱，鄭彥棻，陶希聖，董時進,香港，臺北，美國-舊金山,005000000114A005-010100-00113-009,文件,中美關係，上書建議，反攻復國，國民參政會，民主同盟
民主同盟,張羣呈蔣中正為接見象牙海岸國會議長雅賽夫婦一行外交部檢送象牙海岸簡介與象牙海岸重要參考資料,005-010304-00004-009,005,蔣經國總統文物,蔣經國總統文物/ 文件 / 接待賓客 / 談話資料,蔣中正接見外賓談話資料（四）,1970/05/03 ~ 1970/05/03,1970/05/03,1970/05/03,普通 / 總統府秘書長106年3月27日華總機一字第10610016181號函註銷密等,普通 / 總統府秘書長106年3月27日華總機一字第10610016181號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,005000000465A,005-010304-00004-009,005000000465A,張羣呈蔣中正為接見象牙海岸國會議長雅賽夫婦一行外交部檢送象牙海岸簡介與象牙海岸重要參考資料,蔣中正接見外賓談話資料（四）,,1970民國59年,蔣經國總統文物/文件/接待賓客/談話資料,005000000465A005-010304-00004-009,芮正皋，楊西崑，陳雄飛，谷里巴利，楊繼曾，高飛，沈錡，唐華儀，沈昌煥，狄安,上伏塔-瓦加杜古，臺北，北平，象牙海岸-聖伯多祿港，象牙海岸-阿必尚，象牙海岸-波開,005000000465A005-010304-00004-009,文件,約見外賓，海外農技團，中國代表權案，非洲民主同盟，非馬共同組織，技術援非，援外計畫
