_matched_queries,題名,典藏號,全宗號,全宗名稱,全宗系列,隸屬卷名/件號,本件日期,卷件開始日期,卷件結束日期,密等,密等/解密紀錄,隱私問題,提供方式/地點,閱覽方式,數位化,應用限制,_collection,_identifier,入藏登錄號,內容描述,卷名,本卷日期,檔案年代,檔案系列,申請序號,相關人員,相關地點,調閱參照,資料類型,關鍵詞組
張瀾,閻錫山電復劉存厚等目前雖有小挫即日當再大舉相機恢復指顧間事,116-010101-0010-041,116,閻錫山史料,閻錫山史料/ 文件 / 電報 / 要電錄存,護法戰役案（三）【原卷名：閻伯川先生要電錄存護法戰役案】,1918/03/24 ~ 1918/03/24,1918/03/24,1918/03/24,普通 / 行政院秘書長民國106年12月15日院臺綜字第1060199350號函及國史館第1060003028號簽概括解密,普通 / 行政院秘書長民國106年12月15日院臺綜字第1060199350號函及國史館第1060003028號簽概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,116000000046A,116-010101-0010-041,116000000046A,閻錫山電復劉存厚等目前雖有小挫即日當再大舉相機恢復指顧間事,護法戰役案（三）【原卷名：閻伯川先生要電錄存護法戰役案】,,1918民國7年,閻錫山史料/文件/電報/要電錄存,116000000046A116-010101-0010-041,劉存厚，段祺瑞，張瀾,廣元，綿陽，岳州,116000000046A116-010101-0010-041,文件,
張瀾,劉存厚通電請嚴辦周道剛以肅軍紀而警效尤,116-010101-0010-044,116,閻錫山史料,閻錫山史料/ 文件 / 電報 / 要電錄存,護法戰役案（三）【原卷名：閻伯川先生要電錄存護法戰役案】,1918/04/03 ~ 1918/04/03,1918/04/03,1918/04/03,普通 / 行政院秘書長民國106年12月15日院臺綜字第1060199350號函及國史館第1060003028號簽概括解密,普通 / 行政院秘書長民國106年12月15日院臺綜字第1060199350號函及國史館第1060003028號簽概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,116000000046A,116-010101-0010-044,116000000046A,劉存厚通電請嚴辦周道剛以肅軍紀而警效尤,護法戰役案（三）【原卷名：閻伯川先生要電錄存護法戰役案】,,1918民國7年,閻錫山史料/文件/電報/要電錄存,116000000046A116-010101-0010-044,周道剛，徐孝剛，劉成勳，劉存厚，張瀾,成都，資中，重慶,116000000046A116-010101-0010-044,文件,
張瀾,張瀾（表方）先生小傳暨剪報,,128,個人史料 ( 張瀾 ),,張瀾（表方）先生小傳暨剪報,,0000/00/00,0000/00/00,普通,普通,尚未查核,申請閱覽 (尚未檢視),申請閱覽 (尚未檢視),尚未數位化,,,,1280090550001A,,張瀾（表方）先生小傳暨剪報,0000/00/00,none,,1280090550001A,,,1280090550001A,文件,
張瀾,鍾體道,129-010000-0232,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,鍾體道,,1885/01/12,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000000232A,129-010000-0232,129000000232A,鍾體道（男，迺盦，四川成都）學歷：四川武備學校、陸軍大學、中央訓練團黨政班經歷：陸軍部四川兵工廠、四川第三師第六旅、四川第二混成旅、四川護國軍川北總司令部、重慶鎮守使署陸軍第二師、陸軍第二十二師、將軍府、參謀本部駐洛辦事處、參謀本部蒙藏研究委員會、四川綿陽縣政府、四川第十三區專員公署,鍾體道,1885/01/12,1885民國前26年,軍事委員會委員長侍從室/系列一//,129000000232A129-010000-0232,馬汝驥，段祺瑞，胡忠亮，蔡鍔，蔣中正，鍾鼎臣，鍾體乾，鍾體仁，鍾體正，林瓊，鍾立言，鍾立勛，鍾立英，龍光，鍾立琛，馮士英，張華輔，張瀾，盧廷棟，王章祜，王纘緒，張羣，陳果夫，陳誠，陳宦，劉湘,,129000000232A129-010000-0232,文件,
張瀾,杜象谷,129-010000-0383,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,杜象谷,,1896/03/17,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000000383A,129-010000-0383,129000000383A,杜象谷（男，支宇，四川南充）學歷：北京國立法政專校、中央防空學校、中央訓練團經歷：國立成都大學、第二十四軍部邊務處、西康特區政委會、西康特區團務學校、西康康定縣政府、川康團務委員會、四川武勝縣政府、四川剿匪總司令部、四川省會警備司令部、四川省政府、四川新都縣政府、四川榮昌縣政府,杜象谷,1896/03/17,1896民國前15年,軍事委員會委員長侍從室/系列一//,129000000383A129-010000-0383,張瀾，劉文輝，劉湘，王纘緒，蔣尚樸，杜元冲，杜元照，伯幼筠,,129000000383A129-010000-0383,文件,
張瀾,高嶽,129-010000-0426,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,高嶽,,1886/04/11,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000000426A,129-010000-0426,129000000426A,高嶽（男，維嵩，四川江津）學歷：國立北京法政專校、中央訓練團黨政班經歷：廣西省公署、四川蓬溪縣公署、四川東川道署內務科、四川巴縣縣公署、四川善後督辦公署教育科、四川萬縣縣公署、四川開縣縣公署、四川江巴衛戍司令部、四川奉節縣政府、四川省政府保安處、四川綿竹縣政府,高嶽,1886/04/11,1886民國前25年,軍事委員會委員長侍從室/系列一//,129000000426A129-010000-0426,朱家驊，張厲生，陸榮廷，戴戡，張瀾，葉茂林，徐申甫，劉湘，熊煜，王陵基，高增恒，高治學，高崇，高巍，高治魯，高治常，高治本，高治鎔，高敦溥,,129000000426A129-010000-0426,文件,
張瀾,蒲殿欽,129-010000-0559,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,蒲殿欽,,1895/10/29,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000000559A,129-010000-0559,129000000559A,蒲殿欽（男，賓虞，四川閬中）學歷：國立成都高等師範學校、英國國立香港大學、內政部縣市行政講習所、中央訓練團黨政班經歷：成都大學、成都師範大學、四川省立第一師範學校、國民革命軍第二十九軍、四川綿陽縣政府、第二十九軍駐區保安處、國民會議、四川古宋縣政府、四川忠縣縣政府、四川開縣縣政府、四川省長公署教育委員會、四川省田賦管理處、立法院,蒲殿欽,1895/10/29,1895民國前16年,軍事委員會委員長侍從室/系列一//,129000000559A129-010000-0559,馮劍飛，蔣中正，戴傳賢，傅振烈，張瀾，賴心輝，田頌堯，孫震，董宋珩，劉湘，王纘緒，蒲思發，蒲殿颺，賴淑育，蒲天沛，蒲天慧，蒲天相，張羣，閔永濂，鄧錫侯,,129000000559A129-010000-0559,文件,
張瀾,李之青,129-010000-0678,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,李之青,,1907/04/17,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000000678A,129-010000-0678,129000000678A,李之青（男，李翽、時楙，四川井研）學歷：成都儲材中學、國立成都大學、中央黨政訓練團經歷：四川安縣縣立中學、四川樂山縣立中學、南充縣立職業學校、仁壽縣政府、簡陽縣政府、理番縣政府、綿陽中學、城口縣政府、四川酆都縣政府、四川城口日報社、四川郫縣縣政府、四川崇慶縣政府、四川內江縣政府,李之青,1907/04/17,1907民國前4年,軍事委員會委員長侍從室/系列一//,129000000678A129-010000-0678,王東原，唐冠英，王伯起，傅祖佑，畢盛榮，蕭慰庭，杜高崇，張瀾，王殿璋，羅肇融，李守白，張幼房，張羣，閔永濂，王纘緒，王德馨，李廷採，李大林，李筱琳,,129000000678A129-010000-0678,文件,
張瀾,唐萃芳,129-010000-1248,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,唐萃芳,,1899/03/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000001248A,129-010000-1248,129000001248A,唐萃芳（男，南薰，四川奉節）學歷：奉節縣立高等小學校、夔州聯合縣立中學校、國立北京大學、中央訓練團黨政班經歷：私立志城法政專校、成都地方檢察廳、四川高等檢察廳、四川省立第一女子師範、成都大學、四川大學、四川普通文官檢定考委會、四川省立江安中學、成屬聯立中學、四川小學教師檢定委員會、四川教育廳、重屬聯立高級中學、四川省立奉節中學,唐萃芳,1899/03/00,1899民國前12年,軍事委員會委員長侍從室/系列一//,129000001248A129-010000-1248,郭思演，白兆琮，唐仲山，唐立亭，唐厚生，唐月芳，唐桂芳，王啟學，黃文波，黃毅武，謝盛堂，張瀾，張錚，向楚，董鴻詩，周泰嶽，胡宇光，蔣志澄，楊全宇,,129000001248A129-010000-1248,文件,
張瀾,陳鳴西,129-010000-1254,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,陳鳴西,,1906/09/23,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000001254A,129-010000-1254,129000001254A,陳鳴西（男，有容，四川巴縣）學歷：國立成都大學、四川省縣政人員訓練所、峨眉軍訓團、中央訓練團黨政班經歷：四川夔州聯合聯立中學、四川南充縣立中學、四川省立嘉陵高中、四川榮昌安富女子中學、四川井研縣第二區公所、四川第十六區專員公署、四川第十六區度量衡檢定分所、四川江油縣立中學、國民參政會川康建設期成會,陳鳴西,1906/09/23,1906民國前5年,軍事委員會委員長侍從室/系列一//,129000001254A129-010000-1254,郭思演，白兆琮，謝哲明，陳有光，陳有輝，伍非百，張瀾，陳為章,,129000001254A129-010000-1254,文件,
張瀾,姜炳興,129-010000-1332,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,姜炳興,,1907/01/10,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000001332A,129-010000-1332,129000001332A,姜炳興（男，讓一，四川廣安）學歷：廣安縣立中學、國立中央大學、國立四川大學、中央訓練團黨政班經歷：四川南充職業學校、四川廣安縣立女子中學、天津私立南開中學、四川省立嘉陵高級中學、四川省立南充女子師範學校、四川省立南充師範學校、四川省立南充中學、浙江大學、四川省立萬縣師範學校、四川第十行政督察區,姜炳興,1907/01/10,1907民國前4年,軍事委員會委員長侍從室/系列一//,129000001332A129-010000-1332,余井塘，陳誠，張瀾，姜肇初，張伯苓，楊全宇，譚惠菁，曹芻，楊特,重慶,129000001332A129-010000-1332,文件,
張瀾,伍劍禪,129-010000-1477,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,伍劍禪,,1903/05/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000001477A,129-010000-1477,129000001477A,伍劍禪（男，四川蓬安）學歷：北京中國大學、日本東京帝國大學、峨嵋軍訓團、中央訓練團黨政班經歷：菲律賓華僑中學、遼寧東北大學、國立成都大學、四川省立重慶大學、四川善後督辦公署、重慶市政府、陸軍教導總隊、四川剿匪總司令部、第七戰區司令長官部戰地政工委員會、第二十八集團軍總部、川江航務管理處、川康綏靖主任公署、四川省政府、國立四川大學,伍劍禪,1903/05/00,1903民國前8年,軍事委員會委員長侍從室/系列一//,129000001477A129-010000-1477,石青陽，楊滄白，蔡咸章，張學良，張瀾，劉湘，張必果，潘文華，鄧錫侯，王兆榮，王纘緒,,129000001477A129-010000-1477,文件,
張瀾,張緝,129-010000-4541,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,張緝,,1895/12/05,0000/00/00,普通 / 國防部110年6月25日國人整備字第1100140042號通知單註銷密等,普通 / 國防部110年6月25日國人整備字第1100140042號通知單註銷密等,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000004541A,129-010000-4541,129000004541A,張緝（男，敬熙，西康西昌）學歷：寧遠府中學堂、四川省立高等工業學校、國立北京高等師範學校、北京師範大學、中央訓練團黨政班經歷：山西省立第三中學、四川省立第二師範、北平志成中學、北平師範大學、上川南師範、成都大學、四川省立第一女子師範、四川剿赤安撫委員會、川康邊防總指揮部、西康建省委員會、西康省動員委員會、西康省黨部、國民參政會、西康省政府、中國國民黨全國代表大會、西康省建設廳、西康省縣長考試典試委員、唯行學社文化委員會,張緝,1895/12/05,1895民國前16年,軍事委員會委員長侍從室/系列一//,129000004541A129-010000-4541,黃維，郭禮伯，劉文輝，冷曝東，葉秀峰，余井塘，蕭錚，苑友梅，陳寶泉，張貽惠，向楚，張瀾，張錚，劉湘，蔣中正，張大鈐,福建,129000004541A129-010000-4541,文件,
張瀾,范天篤,129-020000-1122,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,范天篤,,1897/02/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000006122A,129-020000-1122,129000006122A,范天篤（男，仲純，四川鹽亭）學歷：日本早稻田大學、中央訓練團黨政班經歷：重慶四川日報社、國立成都大學、潼川聯合縣立高中、公立四川大學工學院、四川省政府秘書處、四川省政府統計處,范天篤,1897/02/00,1897民國前14年,軍事委員會委員長侍從室/系列二//,129000006122A129-020000-1122,范尚英，李光含，嚴蘊輝，陳誠，段錫朋，蔣中正，劉健恒，陳配德，沈天澤，羅詩珍，劉岡甫，秦希顏，張瀾，萬克明，蔡家驥,,129000006122A129-020000-1122,文件,
張瀾,周子龍,129-020000-1558,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,周子龍,,1911/05/07,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000006558A,129-020000-1558,129000006558A,周子龍（男，燮元，四川雙流）學歷：四川成屬聯中、日本慶應大學、中央訓練團黨政班經歷：成都大學、四川大學、四川成都市社會局、第二十八軍第七師政訓處、川康綏靖公署、四川成都私立蜀華中學、四川省臨參會,周子龍,1911/05/07,1911民國元年,軍事委員會委員長侍從室/系列二//,129000006558A129-020000-1558,郭有守，蔣中正，陳立夫，張瀾，黃隱，劉文輝，馬毓智，劉湘，鄧錫庚,重慶,129000006558A129-020000-1558,文件,益社
張瀾,沈月書,129-020000-2123,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,沈月書,,1902/08/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000007123A,129-020000-2123,129000007123A,沈月書（男，在輝，四川巴縣）學歷：日本神戶高等商業學校、日本東京商科大學、峨嵋山軍官訓練團、中央訓練團黨政班經歷：成都大學、重慶大學、四川省立高級商科學校、西康建省委員會、重慶信託公司、西康省銀行、西康省財政廳、貿委會西康金礦局、西康省政府,沈月書,1902/08/00,1902民國前9年,軍事委員會委員長侍從室/系列二//,129000007123A129-020000-2123,張瀾，劉湘，林秉南，劉文輝，丁次鶴，李萬華,,129000007123A129-020000-2123,文件,
張瀾,孔庚,129-020000-2679,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,孔庚,,1874/00/00,1950/03/25,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000007679A,129-020000-2679,129000007679A,孔庚（男，雯掀，湖北浠水）學歷：北京振武陸軍學校、日本士官學校經歷：廣西幹部學堂、晉北軍總司令部、山西大同鎮守使署、大元帥府執法處、湖北省黨部、國民政府、湖北省政府民政廳、中央政治會議武漢分會、湖北國醫館、國民大會、憲政促進會、國民精神總動員會設計委員會、國民參政會經濟動員策進會、軍政部特約鄂濟豐被服廠、國民參政會經濟建設策進會、憲政實施協進會、歷屆參政員聯誼會、立法院內政及地方自治委員會、同盟會,孔庚,1874/00/00 ~ 1950/03/25,1874民國前37年,軍事委員會委員長侍從室/系列二//,129000007679A129-020000-2679,蔣作賓，夏斗寅，趙恒惕，陶希聖，吳祿貞，閻百川，閻錫山，張難先，李書城，李濟琛，張瀾，吳德峯，林彪，董必武,長沙，香港,129000007679A129-020000-2679,文件,
張瀾,盧廷棟,129-020000-2857,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,盧廷棟,,1882/00/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,,129000007857A,129-020000-2857,129000007857A,盧廷棟（男，子鶴，四川蓬溪）經歷：四川嘉陵道道尹、四川省財政清理委員會、四川省政府公務員資格審查委員會、國民大會,盧廷棟,1882/00/00,1882民國前29年,軍事委員會委員長侍從室/系列二//,129000007857A129-020000-2857,梁汝煌，張瀾,,129000007857A129-020000-2857,文件,進步黨
張瀾; 政治協商會議,邵從恩,129-020000-2860,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,邵從恩,,1872/00/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000007860A,129-020000-2860,129000007860A,邵從恩（男，明叔，四川青神）學歷：日本法政大學經歷：四川民政司、司法籌備處、國務院法制局、四川剿匪軍安撫委員會、四川省政府公務員資格審查委員會、國民大會、國民參政會川康建設期成會、川康經濟建設委員會、國民參政會經濟動員策進會、四川省銀行、國民參政會經濟建設策進會、憲政實施協進會、政治協商會議、歷屆參政員聯誼會,邵從恩,1872/00/00,1872民國前39年,軍事委員會委員長侍從室/系列二//,129000007860A129-020000-2860,張瀾，蔣中正,崇寧,129000007860A129-020000-2860,文件,進步黨
張瀾,楊國鎮,129-020000-4640,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,楊國鎮,,1894/01/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000009640A,129-020000-4640,129000009640A,楊國鎮（男，定宇、逸子，南京）學歷：江南高等學校、民國法政大學經歷：國立成都大學、江蘇沛縣縣政府、委員長侍從室第三處、中央財務委員會、南京市立師範學校、南京市教育局,楊國鎮,1894/01/00,1894民國前17年,軍事委員會委員長侍從室/系列二//,129000009640A129-020000-4640,陳立夫，蕭吉珊，洪陸東，張瀾，陳果夫，金月秋，楊瑩，楊明，楊國鼎，楊國鐸,江蘇江寧，重慶，揚州,129000009640A129-020000-4640,文件,
張瀾,劉裕常,129-020000-4941,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,劉裕常,,1905/10/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000009941A,129-020000-4941,129000009941A,劉裕常（男，東巖，四川資中）學歷：華西中學、國立成都大學、四川縣政人員訓練所、內政部縣市行政講習所、峨眉軍官訓練團、中央訓練團經歷：第二十軍司令部、資中縣教育局、四川剿匪區安撫委員會、四川合江縣政府、四川灌縣縣政府、川康建設視察團、西康漢源縣政府、西康省訓團、外交部,劉裕常,1905/10/00,1905民國前6年,軍事委員會委員長侍從室/系列二//,129000009941A129-020000-4941,游盛庠，楊森，張瀾，劉湘，劉文輝，范文衡，張表方，劉自乾，段班級，蔣作賓，蔣中正，鍾伯承，駱碩先，徐向前,重慶，南京,129000009941A129-020000-4941,文件,川康反動團體，國立成都大學學生會
張瀾,羅溥昌,129-030000-1405,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,羅溥昌,,1896/09/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000011405A,129-030000-1405,129000011405A,羅溥昌（男，海瀾，四川資中）學歷：國立北京高等師範學校、國立北京師範大學、峨眉軍官訓練團經歷：河南省立第一師範、四川省立第六中學、國立成都大學、資中縣立女中、四川省立資中中學、四川省政府教育廳,羅溥昌,1896/09/00,1896民國前15年,軍事委員會委員長侍從室/系列三//,129000011405A129-030000-1405,彭倫，張綏青，張中怡，張瀾，蕭啓暄，余沛華，郭有守,,129000011405A129-030000-1405,文件,
張瀾,袁道南,129-030000-1411,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,袁道南,,1888/12/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,,129000011411A,129-030000-1411,129000011411A,袁道南（男，少游，四川南江）學歷：國立四川高等師範學校經歷：巴中縣勸學所、南江縣勸學所、保寧聯立中學校、四川省長公署、四川省長行署、四川省教育廳、第二十九軍司令部、四川省政府、四川南江縣臨參會,袁道南,1888/12/00,1888民國前23年,軍事委員會委員長侍從室/系列三//,129000011411A129-030000-1411,董修武，譚其茳，王章祐，張瀾，楊庶堪，劉成勛，賴心輝，萬克明，田頌堯，劉文輝，劉湘，賀國光,,129000011411A129-030000-1411,文件,
張瀾,熊祖同,129-030000-2544,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,熊祖同,,1900/08/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000012544A,129-030000-2544,129000012544A,熊祖同（男，仲倫、仲綸，四川成都）學歷：清華學校、美國潤色利工科大學經歷：格蘭頓化學工廠、國民革命軍兵工試驗廠、上海復旦大學化學系、國立中央大學、國立成都大學化學系、國立四川大學化學系、建設委員會首都電廠、漢鎮既濟水電公司、經濟部工礦調整處、成都建國造紙公司、經濟部平價購銷處、經濟部日用必需品管理處、廣東兵工廠、資源委員會冀北電力有限公司,熊祖同,1900/08/00,1900民國前11年,軍事委員會委員長侍從室/系列三//,129000012544A129-030000-2544,裴登，文素松，李登輝，張乃燕，張瀾，王宏實，任鴻隽，潘銘新，張頤，程天放，張茲闓，林繼庸，陳彭年，楊國鎮,重慶，漢口,129000012544A129-030000-2544,文件,
張瀾,楊光湛,129-030000-2920,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,楊光湛,,1888/05/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000012920A,129-030000-2920,129000012920A,楊光湛（男，南生，四川遂寧）學歷：日本中央大學經歷：內政部、大理院、最高法院粵桂閩滇分院、廣東司法廳、國立成都大學、公立四川大學、國立中山大學、國立四川大學、自貢市政府,楊光湛,1888/05/00,1888民國前23年,軍事委員會委員長侍從室/系列三//,129000012920A129-030000-2920,雷昭性，居正，徐謙，張瀾，鄒魯，程天放，楊明鼎，楊光藻，楊光惠，曹任遠,,129000012920A129-030000-2920,文件,
張瀾,向楚,129-030000-3570,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,向楚,,1877/07/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000013570A,129-030000-3570,129000013570A,向楚（男，仙喬，四川巴縣）學歷：舉人經歷：四川學務處、兩廣師範、南京高師、成都高師、成都師範大學、國立成都大學、省立四川大學文學院、國立四川大學文學院、蜀軍政府、重慶鎮撫府、四川政務廳、四川教育廳、四川省憲籌備處、重修巴縣志編纂委員會、四川黨史編纂委員會、國民政府國史館籌備委員會、直屬國立四川大學區黨部、四川省臨時參議會、四川大學文科研究所,向楚,1877/07/00,1877民國前34年,軍事委員會委員長侍從室/系列三//,129000013570A129-030000-3570,楊庶堪，張鳴岐，王舟瑤，江謙，傅振烈，龔道耕，張瀾，劉文輝，王兆榮，張懿，程天放，張培爵，夏之時，劉湘，劉成勛，熊㠏，戴華琳，朱之洪，熊克武，張繼，章太炎,峨眉,129000013570A129-030000-3570,文件,同盟會，中華革命黨
張瀾,魏楚華,129-030000-4177,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,魏楚華,,1892/11/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000014177A,129-030000-4177,129000014177A,魏楚華（男，光炎，四川彭山）學歷：四川陸軍小學堂、陸軍部陸軍第二中學堂、陸軍部保定軍官學校經歷：四川招討軍總部、四川汶川縣公署、四川汶川縣徵收局、四川督軍署、四川陸軍第六師軍事講習所、四川陸軍第八師、江漳平北統捐局、國民革命軍第二十九軍、四川巴中徵收局、國民革命軍第二十八軍、成都市政府、國民革命軍第二十四軍、川康綏靖公署、第二十二集團軍、四川省臨時參議會,魏楚華,1892/11/00,1892民國前19年,軍事委員會委員長侍從室/系列三//,129000014177A129-030000-4177,楊維，張治祥，熊克武，張瀾，楊庶堪，余際唐，余順筠，向樹榮，曾寶森，田頌堯，鄧錫侯，黃隱，劉文輝,,129000014177A129-030000-4177,文件,同盟會
張瀾,陳書,129-040000-0392,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列四 / /,陳書,,1900/00/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000015392A,129-040000-0392,129000015392A,陳書（男，秉一，四川郫縣，1900-）學歷：法國里尔大學、法國斯特堡尔高商學院經歷：第四十五軍司令部、國立成都大學、四川法政專校、鐵道部京甬杭甬兩線警察教練所、惠民機械工廠、四川省學生集訓、審計部、審計部第二廳,陳書,1900/00/00,1900民國前11年,軍事委員會委員長侍從室/系列四//,129000015392A129-040000-0392,鄧錫侯，張瀾，劉旭初，吳迺憲，黃代鎔，駱德榮,四川，廣東，法國,129000015392A129-040000-0392,文件,第四十五軍，鐵道部，審計部，調查報告(1948年6月)，人事登記稿(1942年9月)，人事調查表(1941年8月)
張瀾,張聯陞,129-040000-0699,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列四 / /,張聯陞,,1899/09/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000015699A,129-040000-0699,129000015699A,張聯陞（男，畔青，四川犍為，1899-）學歷：南京高等師範、國立東南大學、中央訓練團黨政班經歷：四川省立第二女子師範、國立成都大學、四川省立第一女子師範、四川省立成都中學、四川省立奉節中學、西康省立雅安工業職業學校,張聯陞,1899/09/00,1899民國前12年,軍事委員會委員長侍從室/系列四//,129000015699A129-040000-0699,陳立夫，蒙公甫，張瀾，張緝，杜致遠，蔣志澄，韓孟鈞,四川，南京，西康,129000015699A129-040000-0699,文件,中華自然科學社，國立成都大學，四川省立成都中學，服務成績調查表(1945年5月)，黨政班學員考核彙記表(1944年3月)，人事調查表(1941年10月)
張瀾,樊雪亭,129-050000-1758,129,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列五 / /,樊雪亭,,1905/11/00,0000/00/00,普通,普通,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,內含個人隱私,129000021758A,129-050000-1758,129000021758A,樊雪亭（男，江蘇江陰，1905-）學歷：無錫公益工商中學商科、上海法政大學經濟系經歷：國民政府軍事委員會、國民經濟研究所研究組、西南經濟調查合作委員會、四川省銀行稽核處編製組、四川省銀行酉陽辦事處、四川省金庫酉陽支庫,樊雪亭,1905/11/00,1905民國前6年,軍事委員會委員長侍從室/系列五//,129000021758A129-050000-1758,張瀾蒼，楊宗序，羅承烈，劉大鈞，朱通九，朱祝晦，馬寅初，雷沛鴻,四川,129000021758A129-050000-1758,文件,國民政府軍事委員會，西南經濟調查合作委員會，四川省銀行酉陽辦事處，人才調查表(1942年7月)
